WE(1).Potential (V),WE(1).Current (A),Corrected time (s)
3.233032227,-2.698791504,1956.599995
3.233032227,-2.699615479,1956.799995
3.233032227,-2.698516846,1956.999995
3.233032227,-2.698791504,1957.199995
3.232727051,-2.699066162,1957.399995
3.232727051,-2.698791504,1957.599995
3.232727051,-2.699066162,1957.799995
3.232727051,-2.699890137,1957.999995
3.232727051,-2.698516846,1958.199995
3.232421875,-2.698791504,1958.399995
3.232421875,-2.701263428,1958.599995
3.232421875,-2.699066162,1958.799995
3.232421875,-2.69934082,1958.999995
3.232421875,-2.698791504,1959.199995
3.232421875,-2.699066162,1959.399995
3.232116699,-2.698791504,1959.599995
3.232116699,-2.699066162,1959.799995
3.232116699,-2.69934082,1959.999995
3.232116699,-2.698791504,1960.199995
3.231811523,-2.699066162,1960.399995
3.231811523,-2.699066162,1960.599995
3.231811523,-2.69934082,1960.799995
3.231811523,-2.699066162,1960.999995
3.231811523,-2.698516846,1961.199995
3.231811523,-2.699066162,1961.399995
3.231506348,-2.69934082,1961.599995
3.231506348,-2.69934082,1961.799995
3.231506348,-2.699066162,1961.999995
3.231506348,-2.699066162,1962.199995
3.231506348,-2.699066162,1962.399995
3.231201172,-2.698791504,1962.599995
3.231201172,-2.699615479,1962.799995
3.231201172,-2.699066162,1962.999995
3.231201172,-2.700714111,1963.199995
3.230895996,-2.699615479,1963.399995
3.230895996,-2.699066162,1963.599995
3.230895996,-2.69934082,1963.799995
3.230895996,-2.698516846,1963.999995
3.230895996,-2.70098877,1964.199995
3.23059082,-2.699066162,1964.399995
3.23059082,-2.699066162,1964.599995
3.23059082,-2.698516846,1964.799995
3.23059082,-2.69934082,1964.999995
3.23059082,-2.698516846,1965.199995
3.230285645,-2.697967529,1965.399995
3.230285645,-2.699066162,1965.599995
3.230285645,-2.697967529,1965.799995
3.230285645,-2.699066162,1965.999995
3.230285645,-2.698791504,1966.199995
3.229980469,-2.699066162,1966.399995
3.229980469,-2.699066162,1966.599995
3.229980469,-2.699066162,1966.799995
3.229980469,-2.698791504,1966.999995
3.229980469,-2.69934082,1967.199995
3.229675293,-2.698516846,1967.399995
3.229675293,-2.697967529,1967.599995
3.229675293,-2.698791504,1967.799995
3.229675293,-2.698791504,1967.999995
3.229675293,-2.699066162,1968.199995
3.229370117,-2.699066162,1968.399995
3.229370117,-2.699066162,1968.599995
3.229370117,-2.69934082,1968.799995
3.229370117,-2.698516846,1968.999995
3.229370117,-2.698516846,1969.199995
3.229064941,-2.699615479,1969.399995
3.229064941,-2.69934082,1969.599995
3.229064941,-2.699066162,1969.799995
3.229064941,-2.698516846,1969.999995
3.229064941,-2.699890137,1970.199995
3.228759766,-2.699615479,1970.399995
3.228759766,-2.698516846,1970.599995
3.228759766,-2.699066162,1970.799995
3.228759766,-2.699890137,1970.999995
3.228759766,-2.704559326,1971.199995
3.22845459,-2.699066162,1971.399995
3.22845459,-2.701263428,1971.599995
3.22845459,-2.69934082,1971.799995
3.22845459,-2.699066162,1971.999995
3.22845459,-2.699890137,1972.199995
3.228149414,-2.699066162,1972.399995
3.228149414,-2.698791504,1972.599995
3.228149414,-2.698516846,1972.799995
3.228149414,-2.698791504,1972.999995
3.228149414,-2.698516846,1973.199995
3.227844238,-2.698516846,1973.399995
3.227844238,-2.699066162,1973.599995
3.227844238,-2.698242188,1973.799995
3.227844238,-2.699066162,1973.999995
3.227844238,-2.69934082,1974.199995
3.227539063,-2.69934082,1974.399995
3.227539063,-2.699066162,1974.599995
3.227539063,-2.698516846,1974.799995
3.227539063,-2.699615479,1974.999995
3.227233887,-2.698791504,1975.199995
3.227233887,-2.698791504,1975.399995
3.227233887,-2.699066162,1975.599995
3.227233887,-2.69934082,1975.799995
3.227233887,-2.698791504,1975.999995
3.227233887,-2.698516846,1976.199995
3.226928711,-2.698516846,1976.399995
3.226928711,-2.698791504,1976.599995
3.226928711,-2.698516846,1976.799995
3.226928711,-2.698516846,1976.999995
3.226623535,-2.69934082,1977.199995
3.226623535,-2.69934082,1977.399995
3.226623535,-2.699066162,1977.599995
3.226623535,-2.699066162,1977.799995
3.226623535,-2.69934082,1977.999995
3.226318359,-2.698516846,1978.199995
3.226318359,-2.69934082,1978.399995
3.226318359,-2.698791504,1978.599995
3.226318359,-2.698791504,1978.799995
3.226318359,-2.698791504,1978.999995
3.226013184,-2.699066162,1979.199995
3.226013184,-2.699615479,1979.399995
3.226013184,-2.699066162,1979.599995
3.226013184,-2.699066162,1979.799995
3.226013184,-2.698791504,1979.999995
3.225708008,-2.698516846,1980.199995
3.225708008,-2.698791504,1980.399995
3.225708008,-2.698791504,1980.599995
3.225708008,-2.69934082,1980.799995
3.225708008,-2.698242188,1980.999995
3.225402832,-2.698791504,1981.199995
3.225402832,-2.698791504,1981.399995
3.225402832,-2.69934082,1981.599995
3.225402832,-2.699066162,1981.799995
3.225097656,-2.698516846,1981.999995
3.225097656,-2.698791504,1982.199995
3.225097656,-2.699066162,1982.399995
3.225097656,-2.69934082,1982.599995
3.225097656,-2.699066162,1982.799995
3.22479248,-2.70098877,1982.999995
3.22479248,-2.699615479,1983.199995
3.22479248,-2.698791504,1983.399995
3.22479248,-2.699066162,1983.599995
3.22479248,-2.698516846,1983.799995
3.224487305,-2.699066162,1983.999995
3.224487305,-2.699066162,1984.199995
3.224487305,-2.699066162,1984.399995
3.224487305,-2.699890137,1984.599995
3.224487305,-2.69934082,1984.799995
3.224182129,-2.698791504,1984.999995
3.224182129,-2.687255859,1985.199995
3.224182129,-2.699066162,1985.399995
3.224182129,-2.699066162,1985.599995
3.224182129,-2.698791504,1985.799995
3.223876953,-2.698516846,1985.999995
3.223876953,-2.698516846,1986.199995
3.223876953,-2.699066162,1986.399995
3.223876953,-2.69934082,1986.599995
3.223876953,-2.698791504,1986.799995
3.223571777,-2.699066162,1986.999995
3.223571777,-2.698516846,1987.199995
3.223571777,-2.69934082,1987.399995
3.223571777,-2.69934082,1987.599995
3.223571777,-2.69934082,1987.799995
3.223266602,-2.699066162,1987.999995
3.223266602,-2.699615479,1988.199995
3.223266602,-2.698516846,1988.399995
3.223266602,-2.699066162,1988.599995
3.223266602,-2.700714111,1988.799995
3.222961426,-2.69934082,1988.999995
3.222961426,-2.698791504,1989.199995
3.222961426,-2.69934082,1989.399995
3.222961426,-2.698516846,1989.599995
3.22265625,-2.69934082,1989.799995
3.22265625,-2.699615479,1989.999995
3.22265625,-2.698791504,1990.199995
3.22265625,-2.698791504,1990.399995
3.22265625,-2.698791504,1990.599995
3.222351074,-2.698791504,1990.799995
3.222351074,-2.699066162,1990.999995
3.222351074,-2.699066162,1991.199995
3.222351074,-2.699066162,1991.399995
3.222351074,-2.699066162,1991.599995
3.222045898,-2.698791504,1991.799995
3.222045898,-2.698791504,1991.999995
3.222045898,-2.699066162,1992.199995
3.222045898,-2.699066162,1992.399995
3.222045898,-2.699066162,1992.599995
3.221740723,-2.699066162,1992.799995
3.221740723,-2.698242188,1992.999995
3.221740723,-2.69934082,1993.199995
3.221740723,-2.698791504,1993.399995
3.221435547,-2.698791504,1993.599995
3.221435547,-2.699066162,1993.799995
